"","processo","relator","palavras_chave","n_do_documento","data_do_acordao","votacao","meio_processual","sumario","decisao_texto"
"11","0018452","PINTO FURTADO","INJÚRIAS A AUTORIDADE PÚBLICA; ABUSO DE LIBERDADE DE IMPRENSA; ELEMENTOS DA INFRACÇÃO","RL197802030018452","02/03/1978","UNANIMIDADE","REC PENAL.","I - A simples denúncia de falta de democraticidade de certa entidade pública não constitui injúria, pela decorrente imputação do pecado totalitário, mas o exercício de um direito de livre crítica constitucionalmente garantido.; II - São desprovidos de carácter injurioso, por falta de sujeito passivo determinado, os trechos de um artigo de jornal sem referência directa ou indirecta a qualquer indivíduo concreto.; III - Não são injuriosos os trechos desse artigo, referidos a uma concreta personalidade política, que constituem simples interrogações para introduzir uma afirmação definidora da personalidade visada, através duma metáfora não injuriosa que exclui as hipóteses interrogativamente equacionadas.; IV - O crime de injúrias contra uma autoridade pública verifica-se quando seja produzida por causa do exercício de funções, sendo irrelevante que o ofensor abstraia no ofendido a sua qualidade de titular do cargo da de simples cidadão ou de homem público.; V - A frase ""segredam-me que é ele quem enleia, intriga, pactua, combina, remexe"" caracteriza, no contexto em que se insere, uma simples descortesia, uma lamentável e manifesta inconveniência que, todavia, não chega a atingir as proporções da injúria.",NA
"12","0007403","BARROS BAIÃO","TÍTULO DE CRÉDITO; RELAÇÕES IMEDIATAS; AVAL; FIANÇA; ACÇÃO CAMBIÁRIA; PRESCRIÇÃO","RL197801200007403","01/20/1978","UNANIMIDADE","APELAÇÃO.","I - Nos termos do Assento de 1 de Fevereiro de 1966, o aval que não indique o avalizado é sempre prestado a favor do sacador.; II - Esse assento fixa uma norma dispositiva e, como tal, inderrogável, mesmo nas relações imediatas.; III - A prescrição da acção cambiária não implica a extinção da obrigação subjacente.; IV - O aval é apenas uma garantia cambiária que, embora com natureza jurídica semelhante à da fiança, não pode confundir-se com esta e, portanto, extinta pela prescrição a obrigação cambiária, o aval não pode subsistir automaticamente como fiança.; V - Para que isso se verifique é indispensável que se alegue que, para além do aval o avalista se quiz obrigar como fiador do aceitante da letra pelo pagamento do montante do empréstimo resultante da relação fundamental.; VI - Porém, o aval apenas pode subsistir como fiança desde que o beneficiário seja sempre o mesmo.",NA
"13","0012689","CAMPOS COSTA","ARRENDAMENTO PARA COMÉRCIO OU INDÚSTRIA; CLÁUSULA ACESSÓRIA; ACÇÃO DE DESPEJO; TRESPASSE; REQUISITOS; CESSÃO DE POSIÇÃO CONTRATUAL; FALTA DE PAGAMENTO","RL197801170012689","01/17/1978","UNANIMIDADE COM DEC VOT","APELAÇÃO.","I - Não há trespasse quando a transferência do gozo de imóvel não é acompanhada da transferência de qualquer estabelecimento comercial ou industrial.; II - Traduz uma cessão gratuita da posição de locatário, e não uma sublocação, o acordo em que o senhorio autoriza a cedência a terceiros do gozo total do imóvel arrendado com o encargo de o terceiro lhe pagar directamente as rendas, desde que no acordo se estabelece expressamente que o arrendatário passe a desempenhar unicamente o papel de fiador do cessionário.; III - Atento o artigo 89, alínea k), do Cód. do Notariado, tem de constar de escritura pública a cessão gratuita da posição de locatário de imóvel destinado a estabelecimento comercial ou industrial, e na falta de escritura, não pode aplicar-se por analogia o regime exarado no artigo 1029, n. 3, do C.C..; IV - Na falta de manifestação de vontade de novar, a simples aceitação de uma letra não extingue uma dívida de rendas, fazendo antes presumir uma dação pro solvendo (artigo 840 do C.C.).",NA
"14","0007251","VITOR COELHO","SEGURO; CUMPRIMENTO DO CONTRATO; ULTRAMAR; COMPETÊNCIA INTERNACIONAL","RL197801100007251","01/10/1978","UNANIMIDADE","AGRAVO.","I - É compatível a aplicação simultânea dos artigos 63 n. 1, e 65 n. 1 alínea b) do Código de Processo Civil, pelo que a competência dos tribunais portugueses se determina no momento da propositura da acção em função de facto praticado em território português, muito embora posteriormente esse território se tenha constituído em Estado independente.; II - O facto de o contrato de seguro ter sido celebrado por agência central da seguradora em Luanda não prejudica a competência internacional dos tribunais portugueses, já que o artigo 70 do Código de Processo Civil permite que a acção possa ser instaurada contra a administração principal, cuja sede é em território português.",NA
"15","0007043","ORLANDO DE CARVALHO","TRANSPORTE MARÍTIMO; NAVIO; NAVEGAÇÃO MARÍTIMA; FRETAMENTO DE NAVIO","RL197801040007043","01/04/1978","UNANIMIDADE","APELAÇÃO.","I - O fretamento de navio é, fundamentalmente, um contrato de transporte.; II - O fretador tem que garantir a navegabilidade do navio.; III - Esta responsabilidade pode ser limitada ou afastada por cláusula de limitação ou de isenção.; IV - Tal cláusula não é, porém, relevante quando o fretador não demonstra que tomou todos os cuidados de um transportador diligente.",NA
"16","0012115","AZEVEDO FERREIRA","SEGURO MARÍTIMO; AVARIA MARÍTIMA; CONCEITO JURÍDICO","RL197801030012115","01/03/1978","UNANIMIDADE","APELAÇÃO.","I - Constituem avaria grossa os actos que emergem de sacrifício voluntário constituído por actos extraordinários e excepcionais do capitão do navio com vista à salvação deste.; II - Já a avaria particular resulta de simples actos normais de navegação sob mau tempo.; III - São, então, simples avarias particulares os danos, destruição e despesas que são consequência de forças da natureza que a boa arte de navegar não conseguiu dominar.",NA
"17","0007337","VITOR COELHO","PROPRIEDADE HORIZONTAL; FRACÇÃO AUTÓNOMA; CONCEITO JURÍDICO; QUALIFICAÇÃO; ESTACIONAMENTO; PARTE COMUM","RL197801030007337","01/03/1978","UNANIMIDADE","APELAÇÃO.","I - Em regime de propriedade horizontal as garagens presumem-se comuns.; II - Serão, porém, fracções, autónomas quando reunam os necessários requisitos e o título constitutivo, como tal, as considerem.; III - Com fracções autónomas estão apenas destinadas ao gozo dos condóminos que o adquirirem e na medida em que o obtiveram.",NA
"18","0012731","VITOR COELHO","TRANSPORTE MARÍTIMO; CUMPRIMENTO DO CONTRATO; ULTRAMAR; COMPETÊNCIA INTERNACIONAL","RL197801030012731","01/03/1978","MAIORIA COM DEC VOT E VOT VENC","AGRAVO.","I - Se determinado facto foi praticado em território português; se não existem acordo bilateral, convenção internacional ou princípios gerais sobre sucessão de Estados que o façam sair da ordem jurídica portuguesa, os Tribunais portugueses são competentes para dele conhecer.; II - E isto, apesar de Angola, onde o contrato foi celebrado, ser hoje Estado independente, a Itália ser o local do destino das mercadorias transportadas, o extravio destas ter ocorrido em Espanha.",NA
"19","0012731","VITOR COELHO","TRANSPORTE MARÍTIMO; CUMPRIMENTO DO CONTRATO; ULTRAMAR; COMPETÊNCIA INTERNACIONAL","RL197801030012731","01/03/1978","MAIORIA COM DEC VOT E VOT VENC","AGRAVO.","I - Se determinado facto foi praticado em território português; se não existem acordo bilateral, convenção internacional ou princípios gerais sobre sucessão de Estados que o façam sair da ordem jurídica portuguesa, os Tribunais portugueses são competentes para dele conhecer.; II - E isto, apesar de Angola, onde o contrato foi celebrado, ser hoje Estado independente, a Itália ser o local do destino das mercadorias transportadas, o extravio destas ter ocorrido em Espanha.",NA
"20","0017676","CAMPOS COSTA","COMPRA E VENDA; PRÉDIO; VÍCIOS DA COISA; DIREITO DE ACÇÃO; CADUCIDADE; DIREITO À INDEMNIZAÇÃO; ADMISSIBILIDADE","RL197711300017676","11/30/1977","MAIORIA COM DEC VOT E VOT VENC","APELAÇÃO.","I - Se não tiver sido celebrado contrato de empreitada, mas apenas uma compra e venda de um imóvel, aos defeitos do imóvel adquirido são de aplicar os arts. 916 e 917 do Cód. Civil, e não já os arts. 1224 e 1225, ainda que o vendedor tenha sido o construtor do prédio.; II - A denúncia do defeito da obra (art. 916, n. 1, do Cód. Civil) não está sujeita a formalidade especial, podendo ser feita verbalmente.; III - O reconhecimento do direito como causa impeditiva da caducidade (art. 331, n. 2, do Cód. Civil) tem um conteúdo muito diverso do reconhecimento do direito como causa interruptiva da prescrição (art. 325), não bastando, para fins de caducidade, qualquer reconhecimento, pois é preciso que este seja tal que tenha o mesmo efeito que teria a prática do acto sujeito a caducidade.; IV - O art. 917 do Cód. Civil é aplicável, por interpretação extensiva, às acções que visem obter a reparação ou a substituição da coisa (art. 914) e, ainda, às que se destinem à cobrança das despesas feitas pelo comprador com a reparação e à exigência de indemnização pelos danos provocados pelos defeitos da obra.; V - Embora o cumprimento defeituoso da obrigação seja em geral fonte de responsabilidade civil contratual (arts. 798 e 799 do Cód. Civil), não pode ser reclamada uma indemnização com essa base no que toca à venda de coisas defeituosas, por esta se encontrar submetida a disciplina própria (arts. 913 e 922).",NA
"21","0003824","BARROS BAIÃO","ABUSO DE LIBERDADE DE IMPRENSA; ELEMENTOS DA INFRACÇÃO","RL197711300003824","11/30/1977","UNANIMIDADE","REC PENAL.","I - Os limites de liberdade de imprensa são os da legalidade constituída no ordenamento jurídico, ou seja no quadro de comportamento ético-social estabelecido pela lei geral codificada prevalente e a que a Lei da Imprensa manda respeitar.; II - Nos crimes de liberdade de imprensa devem considerar- -se os factos praticados à face do direito penal vigente, tomando a norma da lei aplicável e os ensinamentos da jurisprudência.; III - O autor do artigo de um jornal que se não acomode com a situação política estabilizada no ordenamento jurídico e use de expressões objectivamente ofensivas duma corporação policial e dos seus agentes comete um crime de abuso de liberdade de imprensa, mesmo que essas ofensas se traduzam na crítica científica (""marxistas"") da sociedade portuguesa.",NA
"22","0007249","BORDALO SOARES","INSOLVÊNCIA; LITISCONSÓRCIO; COLIGAÇÃO PASSIVA","RL197711070007249","11/07/1977","UNANIMIDADE","APELAÇÃO.","I - O processo de insolvência é de manifesto carácter individualista, só admitindo como excepção, a possível insolvência do cônjuge por se tratar de patrimónios comuns, com a consequente economia processual.; II - Daí que não seja aplicável, fora daquela excepção a coligação de réus.",NA
"23","0007350","ALVES BRANCO","ACÇÃO DE DIVÓRCIO; CASAMENTO","RL197711020007350","11/02/1977","UNANIMIDADE","AGRAVO.","I - O casamento tem de constar, obrigatoriamente, do registo civil e, consequentemente, não pode ser invocado pelas pessoas a quem respeite, pelos herdeiros ou terceiros, enquanto não for lavrado o respectivo registo - arts. 1 d), 2 e 3 do Cód.; Reg. Civil.; II - A prova dos factos sujeitos a registo obrigatório só pode ser feita pelos meios previstos no Código Reg. Civil a saber, certidões, boletins, cédula pessoal ou bilhete de identidade - arts. 5 e 278 do Cód. Reg. Civil.; III - Os boletins para averbamentos são diversos dos referidos no art. 278 do Cód. Reg. Civil.; IV - Portanto, não prova casamento o simples averbamento ao registo de nascimento.; V - Não é de aplicar analogicamente, por ser norma excepcional, o art. 7 do Decreto-Lei n. 261/75, referente não a casamento mas, sim, a separação de pessoas e bens, em ordem à conversão em divórcio.",NA
"24","0017635","ANGELICO CARVALHO","PROVIDÊNCIA CAUTELAR; COMERCIANTE; PROVIDÊNCIA CAUTELAR NÃO ESPECIFICADA; ADMISSIBILIDADE","RL197710260017635","10/26/1977","UNANIMIDADE","AGRAVO.","I - Sendo o devedor comerciante contra ele não pode ser requerido o procedimento cautelar do arresto.; II - Pelas mesmas razões não lhe é aplicável providência cautelar não especificada que tenha os mesmos efeitos que o arresto.",NA
"25","0017302","ROCHA FERREIRA","SOCIEDADES COMERCIAIS; SUPRIMENTOS; NULIDADE POR FALTA DE FORMA LEGAL; RESTITUIÇÃO","RL197710190017302","10/19/1977","UNANIMIDADE","APELAÇÃO.","I - Sendo os suprimentos dos sócios à sociedade verdadeiramente empréstimos ou mútuos e não se verificando a qualidade de comerciante das partes, eles só são válidos quando observados os requisitos de forma: art. 1143 do Cód. Civil.; II - Declarada a nulidade, tem o mutuante o direito a haver a quantia mutuada.",NA
"26","0012348","ROCHA FERREIRA","DIREITO DE PERSONALIDADE; DIREITO À IMAGEM; FOTOGRAFIA ILÍCITA; REPRODUÇÃO DE DOCUMENTO","RL197710190012348","10/19/1977","UNANIMIDADE","APELAÇÃO.","I - A fotografia de um menor, tirada no páteo de colégio, em dia festivo e com a presença de muitas pessoas, não carece de consentimento para ser reproduzida em cartazes.; II - A reprodução feita nos seus cartazes, pelo Partido Comunista, de uma dessas fotografias não ofende o direito à imagem, por se tratar de facto que decorreu publicamente - art. 79, n. 2 do C. Civil.; III - Para a atribuição de indemnização por danos não patrimoniais é necessário que estes tenham gravidade e, assim, mereçam a tutela do direito - n. 1, do art. 496 do C. Civil.",NA
"27","0012159","BARROS BAIÃO","LEGADO PIO; CONCEITO JURÍDICO; ALIENAÇÃO; RESOLUÇÃO","RL197710120012159","10/12/1977","UNANIMIDADE","APELAÇÃO.","I - O Código Civil não contém uma norma que defina o conceito de legado pio, deixando à legislação especial a sua regulamentação (art. 2280).; II - Esse conceito tem de se ir buscar ao art. 1 do Decreto-Lei n. 39449, de 24-11-53, reforçado pela nova redacção dada pelo Decreto-Lei n. 43209, de 10-10-60, que estabelece serem legados pios, entre outros, aqueles que o testador destine à criação, manutenção ou desenvolvimento de obras de assistência, previdência, educação ou fins análogos, bem como os encargos de natureza idêntica instituídos em qualquer instrumento público.; III - Um legado pio consistente num imóvel deixado a uma instituição de assistência para uns fins que esta já prossegue, pode ser alienado para a manutenção, melhoria ou desenvolvimento dessa finalidade.; IV - A nossa tradição jurídica tem sido no sentido de se poder ""comutar"", de ""substituir"" as ""obras pias"" por outras ""obras pias"" quando não se possibilite o seu cumprimento tal como foi instituído pelo testador (Relatório do Decreto-Lei n. 39449, de 24-11-53).; V - A resolução de um legado pio só pode ser pedida nos termos e condições do art. 2248 do Código Civil vigente, e sendo resolvida essa disposição testamentária, o encargo deve ser cumprido nas mesmas condições pelo beneficiário da resolução.",NA
"28","0007269","ALVES BRANCO","SOCIEDADE IRREGULAR; PRESTAÇÃO DE CONTAS; DIREITO DE ACÇÃO","RL197710060007269","10/06/1977","UNANIMIDADE","AGRAVO.","I - A sociedade comercial irregular enquanto não é dissolvida nem declarada a sua ineexistência produz efeitos entre os seus sócios.; II - Enquanto a sociedade comercial existir não obsta a que qualquer sócio exija do mandatário social a prestação de contas.",NA
"29","0012535","LICURGO DOS SANTOS","PROVIDÊNCIA CAUTELAR; ARRESTO; BEM APREENDIDO; USO","RL197710060012535","10/06/1977","UNANIMIDADE","AGRAVO.","I - A lei processual não prevê expressamente a possibilidade de os móveis arrestados, serem arrendados ou explorados directamente pelo depositário o que bem se compreende face à sua especial natureza.; II - Isto não significa que os móveis arrestados não possam ser arrendados ou explorados directamente pelo depositário, quando surjam situações semelhantes aquelas que podem surgir relativamente aos imóveis penhorados, até porque o art. 855 do C. de P. Civil manda aplicar à penhora dos bens móveis o regime estabelecido para a penhora de imóveis.; III - Consequentemente, salvo convenção expressa em contrário, o fiel depositário, actuando dentro do princípio geral defenido no art. 843 do C. P. Civil, pode arrendar máquinas arrestadas e integrantes de uma fábrica, para obstar à paralização desta, salvo a obrigação de prestar contas.",NA
"30","0008873","CAMPOS COSTA","ARMA PROIBIDA; ARMA BRANCA; ELEMENTOS DA INFRACÇÃO","RL197707270008873","07/27/1977","UNANIMIDADE","REC PENAL.","I - Contrapondo-se às armas de fogo, são armas brancas as que, feitas de aço polido, cortam ou perfuram por meio da força muscular, derivando a sua designação da cor do aço ser muito mais clara que a do ferro.; II - Na vigência do Decreto-Lei n. 37313, de 21/02/1949, nem todas as armas brancas eram proibidas, sendo proibido o porte de uma faca de mato que podia ser usada como arma de agressão e que, encontrada fora do local onde é normal o seu emprego, o seu portador não haja justificado a sua posse (arts. 9 e 10, alínea c)).; III - O art. 9, in fine, do Decreto-Lei n. 37313 só autorizava o porte de canivetes com mola fixadora e lâmina não excedente a 15 cm de comprimento, entendendo-se por canivete uma pequena navalha e por navalha o instrumento cuja lâmina fica protegida pelo cabo, quando ela se fecha, através de uma mola fixadora.; IV - O art. 9 do Decreto-Lei n. 37313 foi revogado pelo art. 3, n. 1, alínea f), do Decreto-Lei n. 207-A/75, de 17-4, passando a ser proibidas todas as armas brancas que possam ser usadas como arma letal de agressão e que o portador não justifique a sua posse, sendo indiferente o comprimento das respectivas lâminas.; V - Pelo art. 4, n. 3, do Decreto-Lei n. 207-A/75, na redacção do Decreto-Lei n. 462-A/76, de 9-6, apenas são puníveis com pena de prisão até 6 meses as armas brancas que, cumulativamente, pela sua dimensão e formato, possam ser havidas como de porte frequente, não se encontrando nestas condições uma faca de mato, tipo punhal, com lâmina de 11,5 cm, ponteaguda, tendo a parte superior serrada em cerca de 5 cm e uma largura de lâmina de 2,2 cm, possuindo o cabo o comprimento de 9,2 cm.",NA
"31","0007168","ARAUJO FRANQUEIRA","ACÇÃO CAMBIÁRIA; CHAMAMENTO À DEMANDA; ADMISSIBILIDADE","RL197707140007168","07/14/1977","UNANIMIDADE","AGRAVO.","I - No incidente de chamamento à demanda o julgador, antes de ordenar a citação do chamado deverá pronunciar-se sobre a viabilidade de tal incidente.; II - A solidariedade entre co-obrigados em títulos de crédito -letras de câmbio- é imprória, pois não são co-devedores solidários. Apenas o portador ou o co-obrigado que haja pago o valor do título pode exigir dos restantes a totalidade do valor em dívida.; III - Daí a inadmissibilidade do incidente de chamamento; à demanda.",NA
